0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:20:42 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:20:42 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:20:42 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:20:42 +0530] "GET /Music/resources/admin/upload/sd.jpg HTTP/1.1" 200 556485
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:20:42 +0530] "GET /Music/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/admin/abc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/login HTTP/1.1" 200 3603
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/resources/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/resources/css/custom.css HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:10 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:13 +0530] "GET /Music/Guitars HTTP/1.1" 200 6048
