127.0.0.1 - - [26/Aug/2016:17:23:08 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:12 +0530] "GET /Database/ HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:37 +0530] "GET /Database/ HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/landing HTTP/1.1" 200 10245
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:41 +0530] "GET /Database/resources/js/main.js HTTP/1.1" 404 996
