127.0.0.1 - - [29/Aug/2016:07:48:58 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:44 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
